Ciudad,Latitud,Longitud
Lima,-12.0464,-77.0428
Arequipa,-16.4090,-71.5375
Cusco,-13.5319,-71.9675
Trujillo,-8.1150,-79.0296
Iquitos,-3.7481,-73.2472
Piura,-5.1945,-80.6329
Chiclayo,-6.7711,-79.8419
Puno,-15.8402,-70.0219
Huancayo,-12.0650,-75.2044
Cajamarca,-7.1626,-78.5000
Huaraz,-9.5308,-77.5283
Ica,-14.0678,-75.7285
Tarapoto,-6.4796,-76.3690
Chimbote,-9.0853,-78.5783
Tacna,-18.0117,-70.2536
Ayacucho,-13.1586,-74.2259
Moyobamba,-6.0321,-76.9710
Huanuco,-9.9209,-76.2403
Cerro de Pasco,-10.6894,-76.2631
Buenos Aires,-34.6118,-58.4173
Brasilia,-15.7801,-47.9292
Santiago,-33.4489,-70.6693
Quito,-0.2295,-78.5243
Bogota,4.6097,-74.0817
Caracas,10.4910,-66.8792
Asuncion,-25.2637,-57.5759
Montevideo,-34.9011,-56.1872
Paramaribo,5.8667,-55.1667
Georgetown,6.8013,-58.1553
Cayenne,4.9223,-52.3274
Sucre,-19.0358,-65.2624
Ciudad de Guatemala,14.634915,-90.506882
San Salvador,13.7083,-89.2034
Tegucigalpa,14.0723,-87.1921
Managua,12.1496,-86.2930
San José,9.9281,-84.0907
Belmopan,17.2534,-88.7711
Ciudad de Panamá,8.9824,-79.5199
Santo Domingo,18.4744,-69.8923
Puerto Príncipe,18.5425,-72.3350
Kingston,17.9714,-76.7920
San Juan,18.4663,-66.1057
Bridgetown,13.1072,-59.6200
Port of Spain,10.6596,-61.5506
Basseterre,17.3026,-62.7177
Roseau,15.3092,-61.3842
Castries,14.0101,-61.0010
St. George's,12.0543,-61.7483
Havana,23.1136,-82.3666
Nassau,25.0343,-77.3963
Willemstad,12.1062,-68.9300
Oranjestad,12.5237,-70.0276
Washington D.C.,38.8951,-77.0369
Ottawa,45.4215,-75.6906
Ciudad de México,19.4326,-99.1332
